F:\CarSim\Data\IMG\center_2019_10_10_14_00_43_126.jpg, F:\CarSim\Data\IMG\left_2019_10_10_14_00_43_126.jpg, F:\CarSim\Data\IMG\right_2019_10_10_14_00_43_126.jpg, 0, 0, 0, 8.058981E-05
F:\CarSim\Data\IMG\center_2019_10_10_14_00_43_227.jpg, F:\CarSim\Data\IMG\left_2019_10_10_14_00_43_227.jpg, F:\CarSim\Data\IMG\right_2019_10_10_14_00_43_227.jpg, 0, 0, 0, 8.194635E-05
F:\CarSim\Data\IMG\center_2019_10_10_14_00_43_328.jpg, F:\CarSim\Data\IMG\left_2019_10_10_14_00_43_328.jpg, F:\CarSim\Data\IMG\right_2019_10_10_14_00_43_328.jpg, 0, 0, 0, 8.215032E-05
F:\CarSim\Data\IMG\center_2019_10_10_14_00_43_428.jpg, F:\CarSim\Data\IMG\left_2019_10_10_14_00_43_428.jpg, F:\CarSim\Data\IMG\right_2019_10_10_14_00_43_428.jpg, 0, 0, 0, 8.464194E-05
F:\CarSim\Data\IMG\center_2019_10_10_14_00_43_528.jpg, F:\CarSim\Data\IMG\left_2019_10_10_14_00_43_528.jpg, F:\CarSim\Data\IMG\right_2019_10_10_14_00_43_528.jpg, 0, 0, 0, 8.206967E-05
F:\CarSim\Data\IMG\center_2019_10_10_14_00_43_631.jpg, F:\CarSim\Data\IMG\left_2019_10_10_14_00_43_631.jpg, F:\CarSim\Data\IMG\right_2019_10_10_14_00_43_631.jpg, 0, 0, 0, 7.854035E-05
F:\CarSim\Data\IMG\center_2019_10_10_14_00_43_732.jpg, F:\CarSim\Data\IMG\left_2019_10_10_14_00_43_732.jpg, F:\CarSim\Data\IMG\right_2019_10_10_14_00_43_732.jpg, 0, 0, 0, 7.873282E-05
F:\CarSim\Data\IMG\center_2019_10_10_14_00_43_833.jpg, F:\CarSim\Data\IMG\left_2019_10_10_14_00_43_833.jpg, F:\CarSim\Data\IMG\right_2019_10_10_14_00_43_833.jpg, 0, 0, 0, 7.887292E-05
F:\CarSim\Data\IMG\center_2019_10_10_14_00_43_934.jpg, F:\CarSim\Data\IMG\left_2019_10_10_14_00_43_934.jpg, F:\CarSim\Data\IMG\right_2019_10_10_14_00_43_934.jpg, 0, 0, 0, 7.887583E-05
F:\CarSim\Data\IMG\center_2019_10_10_14_00_44_034.jpg, F:\CarSim\Data\IMG\left_2019_10_10_14_00_44_034.jpg, F:\CarSim\Data\IMG\right_2019_10_10_14_00_44_034.jpg, 0, 0, 0, 7.964025E-05
